yr,S,N,A2,A3,A4,A5,A6,A7
1976,116989,169986.7493,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1977,216631,289597.6287,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1978,146884,175259.3921,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1979,128879,167349.7472,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1980,94934.70845,126426.0436,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1981,61774,92602.03501,9.13621E-05,0.018718501,0.340095755,0.529480745,0.109998853,0.001614784
1982,75501,115789.8736,0,0,0.129846721,0.544172491,0.324012232,0.001968556
1983,63645,87244.50245,0.00204793,0.022839213,0.206910106,0.704453074,0.063749677,0
1984,58188,69923.51111,0,0.002078231,0.333278974,0.536188473,0.125819719,0.002634604
1985,107586,128080.3184,0,0.001005858,0.284724015,0.51261212,0.193366045,0.008291962
1986,71543,88851.40628,0,0,0.159078993,0.683402122,0.157518885,0
1987,72720,133943.4094,0,0,0.052539956,0.788282921,0.15774212,0.001435003
1988,46166.04746,95820.64011,0,0.019400276,0.221595691,0.437498237,0.310375521,0.011130274
1989,83680.44136,163756.6544,0,0.032266721,0.491764953,0.347349448,0.123145992,0.005472887
1990,75246.47414,158397.4408,0,0.00529296,0.401387998,0.50403399,0.089285052,0
1991,86602.84262,200427.2083,0,0.00082015,0.191851011,0.768743807,0.037716158,0.000868873
1992,82589.89784,179461.8261,0,0.001518885,0.10509509,0.738342268,0.155043757,0
1993,64819.99595,147167.6306,0,0.007663082,0.243191217,0.554779124,0.189938964,0.004427614
1994,77409.4045,136369.4828,0,0.004608428,0.20442675,0.571512654,0.217041691,0.002410476
1995,45470.86383,118143.3986,0,0.015026218,0.487798671,0.38637995,0.11079516,0
1996,62569.46884,166608.5489,0,0.023684136,0.159728025,0.764858026,0.051729814,0
1997,39902.26624,93901.79359,0.001880639,0.042684969,0.433886541,0.384543559,0.137004292,0
1998,50059.49649,95422.80992,0,0.039240826,0.515843597,0.327584657,0.11733092,0
1999,62465.32756,140254.3586,0,0.012498352,0.334083908,0.607487408,0.045930332,0
2000,37823.70854,89540.75092,0,0.017937009,0.213063668,0.565428485,0.203570838,0
2001,61924.99884,132825.2691,0,0.001216288,0.316558076,0.649361777,0.031647571,0.001216288
2002,69747.42186,153109.4871,0,0.016344533,0.500319432,0.411743941,0.071592093,0
2003,84858.81882,177611.5639,0,0.025569993,0.285015784,0.645342621,0.044071602,0
2004,40679.43519,86637.71695,0,0.035870116,0.411991359,0.477365258,0.074773268,0
2005,74065.23373,112590.7776,0,0.002483749,0.669747286,0.29850029,0.029268675,0
2006,85133.89312,170653.2503,0,0.008889816,0.387491359,0.592816838,0.010801986,0
2007,59938.59881,162025.2839,0,0.006526961,0.20530391,0.678056281,0.110112848,0
2008,29647.66008,56040.12886,0,0.008040233,0.451360266,0.285883947,0.254715554,0
2009,87454.5923,150701.1229,0,0.009715899,0.542615914,0.402321385,0.045346803,0
2010,57196.95494,139249.0045,0,0.00472951,0.200871456,0.664331644,0.13006739,0
2011,91371.90676,173219.5579,0,0.046489248,0.343486883,0.349507249,0.25937232,0.001144299
2012,63646.52933,136897.4596,0,0.043397849,0.258568064,0.656979193,0.041054894,0
2013,127609.4156,231179.7498,0,0.006737856,0.45703552,0.381447865,0.153062787,0.001715972
2014,107518.048,178231.6994,0,0.005051281,0.154181532,0.770047012,0.064974172,0.005746004
2015,97221.45089,154609.8101,0,0.003994226,0.343277594,0.528929679,0.123798501,0
2016,53865.98727,104961.9569,0,0.00920611,0.24292338,0.657700053,0.090170457,0
2017,89808.84438,161913.2154,0,0,0.452086225,0.416233538,0.130428814,0.001251423
2018,27639.80677,35160.78864,0,0.008279286,0.541323617,0.308026203,0.124484435,0.017886458
2019,70958.09611,98070.51552,0,0.07480915,0.345658145,0.548465839,0.029231865,0.001835001
2020,64563.26945,85912.51911,0,0.006743873,0.478527531,0.468509905,0.046218691,0
2021,115592.1568,171738.1147,0,0.032945126,0.313577626,0.644009627,0.009467621,0
2022,93843.77557,138408.8689,0,0.029106371,0.586825872,0.38029171,0.003776047,0
2023,138241.3286,171067.745,0,0.160983992,0.346996459,0.457648629,0.03437092,0
2024,67895.47578,121545.2569,0,0.009198781,0.618278275,0.366498743,0.006024202,0
