"","Escapement","variable","value","sra","max_pct","Probability"
"1",0,"oy_0.9",0,"Yield Profile","0.9",0
"2",100,"oy_0.9",0,"Yield Profile","0.9",0
"3",200,"oy_0.9",0,"Yield Profile","0.9",0
"4",300,"oy_0.9",0,"Yield Profile","0.9",0
"5",400,"oy_0.9",0,"Yield Profile","0.9",0
"6",500,"oy_0.9",0,"Yield Profile","0.9",0
"7",600,"oy_0.9",0,"Yield Profile","0.9",0
"8",700,"oy_0.9",0,"Yield Profile","0.9",0
"9",800,"oy_0.9",0,"Yield Profile","0.9",0
"10",900,"oy_0.9",0,"Yield Profile","0.9",0
"11",1000,"oy_0.9",0,"Yield Profile","0.9",0
"12",1100,"oy_0.9",0,"Yield Profile","0.9",0
"13",1200,"oy_0.9",0,"Yield Profile","0.9",0
"14",1300,"oy_0.9",0,"Yield Profile","0.9",0
"15",1400,"oy_0.9",0,"Yield Profile","0.9",0
"16",1500,"oy_0.9",0,"Yield Profile","0.9",0
"17",1600,"oy_0.9",0,"Yield Profile","0.9",0
"18",1700,"oy_0.9",0,"Yield Profile","0.9",0
"19",1800,"oy_0.9",0,"Yield Profile","0.9",0
"20",1900,"oy_0.9",0,"Yield Profile","0.9",0
"21",2000,"oy_0.9",0,"Yield Profile","0.9",0
"22",2100,"oy_0.9",0,"Yield Profile","0.9",0
"23",2200,"oy_0.9",0,"Yield Profile","0.9",0
"24",2300,"oy_0.9",0,"Yield Profile","0.9",0
"25",2400,"oy_0.9",0,"Yield Profile","0.9",0
"26",2500,"oy_0.9",0,"Yield Profile","0.9",0
"27",2600,"oy_0.9",0,"Yield Profile","0.9",0
"28",2700,"oy_0.9",0,"Yield Profile","0.9",0
"29",2800,"oy_0.9",0,"Yield Profile","0.9",0
"30",2900,"oy_0.9",0,"Yield Profile","0.9",0
"31",3000,"oy_0.9",0,"Yield Profile","0.9",0
"32",3100,"oy_0.9",0,"Yield Profile","0.9",0
"33",3200,"oy_0.9",0,"Yield Profile","0.9",0
"34",3300,"oy_0.9",0,"Yield Profile","0.9",0
"35",3400,"oy_0.9",0,"Yield Profile","0.9",0
"36",3500,"oy_0.9",0,"Yield Profile","0.9",0
"37",3600,"oy_0.9",0,"Yield Profile","0.9",0
"38",3700,"oy_0.9",0,"Yield Profile","0.9",0
"39",3800,"oy_0.9",0,"Yield Profile","0.9",0
"40",3900,"oy_0.9",0,"Yield Profile","0.9",0
"41",4000,"oy_0.9",0,"Yield Profile","0.9",0
"42",4100,"oy_0.9",0,"Yield Profile","0.9",0
"43",4200,"oy_0.9",0,"Yield Profile","0.9",0
"44",4300,"oy_0.9",0,"Yield Profile","0.9",0
"45",4400,"oy_0.9",0,"Yield Profile","0.9",0
"46",4500,"oy_0.9",0,"Yield Profile","0.9",0
"47",4600,"oy_0.9",0,"Yield Profile","0.9",0
"48",4700,"oy_0.9",0,"Yield Profile","0.9",0
"49",4800,"oy_0.9",0,"Yield Profile","0.9",0
"50",4900,"oy_0.9",0,"Yield Profile","0.9",0
"51",5000,"oy_0.9",0,"Yield Profile","0.9",0
"52",5100,"oy_0.9",0,"Yield Profile","0.9",0
"53",5200,"oy_0.9",0,"Yield Profile","0.9",0
"54",5300,"oy_0.9",0,"Yield Profile","0.9",0
"55",5400,"oy_0.9",0,"Yield Profile","0.9",0
"56",5500,"oy_0.9",0,"Yield Profile","0.9",0
"57",5600,"oy_0.9",0,"Yield Profile","0.9",0
"58",5700,"oy_0.9",0,"Yield Profile","0.9",0
"59",5800,"oy_0.9",0,"Yield Profile","0.9",0
"60",5900,"oy_0.9",0,"Yield Profile","0.9",0
"61",6000,"oy_0.9",0,"Yield Profile","0.9",0
"62",6100,"oy_0.9",0,"Yield Profile","0.9",0
"63",6200,"oy_0.9",0,"Yield Profile","0.9",0
"64",6300,"oy_0.9",0,"Yield Profile","0.9",0
"65",6400,"oy_0.9",0,"Yield Profile","0.9",0
"66",6500,"oy_0.9",0,"Yield Profile","0.9",0
"67",6600,"oy_0.9",0,"Yield Profile","0.9",0
"68",6700,"oy_0.9",0,"Yield Profile","0.9",0
"69",6800,"oy_0.9",0,"Yield Profile","0.9",0
"70",6900,"oy_0.9",0,"Yield Profile","0.9",0
"71",7000,"oy_0.9",0,"Yield Profile","0.9",0
"72",7100,"oy_0.9",0,"Yield Profile","0.9",0
"73",7200,"oy_0.9",0,"Yield Profile","0.9",0
"74",7300,"oy_0.9",0,"Yield Profile","0.9",0
"75",7400,"oy_0.9",0,"Yield Profile","0.9",0
"76",7500,"oy_0.9",0,"Yield Profile","0.9",0
"77",7600,"oy_0.9",0,"Yield Profile","0.9",0
"78",7700,"oy_0.9",0,"Yield Profile","0.9",0
"79",7800,"oy_0.9",0,"Yield Profile","0.9",0
"80",7900,"oy_0.9",0,"Yield Profile","0.9",0
"81",8000,"oy_0.9",0,"Yield Profile","0.9",0
"82",8100,"oy_0.9",0,"Yield Profile","0.9",0
"83",8200,"oy_0.9",0,"Yield Profile","0.9",0
"84",8300,"oy_0.9",0,"Yield Profile","0.9",0
"85",8400,"oy_0.9",0,"Yield Profile","0.9",0
"86",8500,"oy_0.9",0,"Yield Profile","0.9",0
"87",8600,"oy_0.9",0,"Yield Profile","0.9",0
"88",8700,"oy_0.9",0,"Yield Profile","0.9",0
"89",8800,"oy_0.9",0,"Yield Profile","0.9",0
"90",8900,"oy_0.9",0,"Yield Profile","0.9",0
"91",9000,"oy_0.9",0,"Yield Profile","0.9",0
"92",9100,"oy_0.9",0,"Yield Profile","0.9",0
"93",9200,"oy_0.9",0,"Yield Profile","0.9",0
"94",9300,"oy_0.9",0,"Yield Profile","0.9",0
"95",9400,"oy_0.9",0,"Yield Profile","0.9",0
"96",9500,"oy_0.9",0,"Yield Profile","0.9",0
"97",9600,"oy_0.9",0,"Yield Profile","0.9",0
"98",9700,"oy_0.9",0,"Yield Profile","0.9",0
"99",9800,"oy_0.9",0,"Yield Profile","0.9",0
"100",9900,"oy_0.9",0,"Yield Profile","0.9",0
"101",10000,"oy_0.9",0,"Yield Profile","0.9",0
"102",10100,"oy_0.9",0,"Yield Profile","0.9",0
"103",10200,"oy_0.9",0,"Yield Profile","0.9",0
"104",10300,"oy_0.9",0,"Yield Profile","0.9",0
"105",10400,"oy_0.9",0,"Yield Profile","0.9",0
"106",10500,"oy_0.9",0,"Yield Profile","0.9",0
"107",10600,"oy_0.9",0,"Yield Profile","0.9",0
"108",10700,"oy_0.9",0,"Yield Profile","0.9",0
"109",10800,"oy_0.9",0,"Yield Profile","0.9",0
"110",10900,"oy_0.9",0,"Yield Profile","0.9",0
"111",11000,"oy_0.9",0,"Yield Profile","0.9",0
"112",11100,"oy_0.9",0,"Yield Profile","0.9",0
"113",11200,"oy_0.9",0,"Yield Profile","0.9",0
"114",11300,"oy_0.9",0,"Yield Profile","0.9",0
"115",11400,"oy_0.9",0,"Yield Profile","0.9",0
"116",11500,"oy_0.9",0,"Yield Profile","0.9",0
"117",11600,"oy_0.9",0,"Yield Profile","0.9",0
"118",11700,"oy_0.9",0,"Yield Profile","0.9",0
"119",11800,"oy_0.9",0,"Yield Profile","0.9",0
"120",11900,"oy_0.9",0,"Yield Profile","0.9",0
"121",12000,"oy_0.9",0,"Yield Profile","0.9",0
"122",12100,"oy_0.9",0,"Yield Profile","0.9",0
"123",12200,"oy_0.9",0,"Yield Profile","0.9",0
"124",12300,"oy_0.9",0,"Yield Profile","0.9",0
"125",12400,"oy_0.9",0,"Yield Profile","0.9",0
"126",12500,"oy_0.9",0,"Yield Profile","0.9",0
